	publication	category	short_list	title_CR	link
268	bioRxiv	Microbiology	Yoriyuki Konno,  Izumi Kimura,  Keiya Uriu, ...	SARS-CoV-2 ORF3b is a potent interferon antagonist whose activity is further increased by a naturally occurring elongation variant	https://www.bioRxiv.org/content/10.1101/2020.05.11.088179v1.article-metrics
276	bioRxiv	Microbiology	Jimmy Lee,  Tom Hughes,  Mei-Ho Lee, ...	No evidence of coronaviruses or other potentially zoonotic viruses in Sunda pangolins (Manis javanica) entering the wildlife trade via Malaysia.	https://www.bioRxiv.org/content/10.1101/2020.06.19.158717v1.article-metrics
265	bioRxiv	Microbiology	Yuan Liu,  Zhi Ning,  Yu Chen, ...	Aerodynamic Characteristics and RNA Concentration of SARS-CoV-2 Aerosol in Wuhan Hospitals during COVID-19 Outbreak	https://www.bioRxiv.org/content/10.1101/2020.03.08.982637v1.article-metrics
243	bioRxiv	Microbiology	Chee Keng Mok,  Yan Ling Ng,  Bintou Ahmadou Ahidjo, ...	Calcitriol, the active form of vitamin D, is a promising candidate for COVID-19 prophylaxis	https://www.bioRxiv.org/content/10.1101/2020.06.21.162396v1.article-metrics
263	bioRxiv	Microbiology	Nadia Oreshkova,  Robert-Jan Molenaar,  Sandra Vreman, ...	SARS-CoV2 infection in farmed mink, Netherlands, April 2020	https://www.bioRxiv.org/content/10.1101/2020.05.18.101493v1.article-metrics
266	bioRxiv	Microbiology	Boris Pastorino,  Franck Touret,  Magali Gilles, ...	Evaluation of heating and chemical protocols for inactivating SARS-CoV-2	https://www.bioRxiv.org/content/10.1101/2020.04.11.036855v1.article-metrics
275	bioRxiv	Microbiology	Edward Ian Patterson,  Gabriella Elia,  Andrea Grassi, ...	Evidence of exposure to SARS-CoV-2 in cats and dogs from households in Italy	https://www.bioRxiv.org/content/10.1101/2020.07.21.214346v1.article-metrics
256	bioRxiv	Microbiology	Kenneth S Plante,  Jessica A Plante,  Diana Fernandez, ...	Prophylactic and Therapeutic Inhibition of In Vitro SARS-CoV-2 Replication by Oleandrin	https://www.bioRxiv.org/content/10.1101/2020.07.15.203489v1.article-metrics
262	bioRxiv	Microbiology	Juan A Pérez-Bermejo,  Serah S Kang,  Sarah J. Rockwood, ...	SARS-CoV-2 infection of human iPSC-derived cardiac cells predicts novel cytopathic features in hearts of COVID-19 patients	https://www.bioRxiv.org/content/10.1101/2020.08.25.265561v1.article-metrics
261	bioRxiv	Microbiology	Brian D Quinlan,  Huihui Mou,  Lizhou Zhang, ...	The SARS-CoV-2 receptor-binding domain elicits a potent neutralizing response without antibody-dependent enhancement	https://www.bioRxiv.org/content/10.1101/2020.04.10.036418v1.article-metrics
253	bioRxiv	Microbiology	Diana Ranoa,  Robin Holland,  Fadi G Alnaji, ...	Saliva-Based Molecular Testing for SARS-CoV-2 that Bypasses RNA Extraction	https://www.bioRxiv.org/content/10.1101/2020.06.18.159434v1.article-metrics
273	bioRxiv	Microbiology	Neal G Ravindra,  Mia Madel Alfajaro,  Victor Gasque, ...	Single-cell longitudinal analysis of SARS-CoV-2 infection in human bronchial epithelial cells	https://www.bioRxiv.org/content/10.1101/2020.05.06.081695v1.article-metrics
255	bioRxiv	Microbiology	Jonathan L Schmid-Burgk,  Ricarda Maria Schmithausen,  David Li, ...	LAMP-Seq: Population-Scale COVID-19 Diagnostics Using a Compressed Barcode Space	https://www.bioRxiv.org/content/10.1101/2020.04.06.025635v1.article-metrics
251	bioRxiv	Microbiology	Timothy P Sheahan,  Amy C Sims,  Shuntai Zhou, ...	An orally bioavailable broad-spectrum antiviral inhibits SARS-CoV-2 and multiple endemic, epidemic and bat coronavirus	https://www.bioRxiv.org/content/10.1101/2020.03.19.997890v1.article-metrics
241	bioRxiv	Microbiology	Eric Song,  Ce Zhang,  Benjamin Israelow, ...	Neuroinvasive potential of SARS-CoV-2 revealed in a human brain organoid model	https://www.bioRxiv.org/content/10.1101/2020.06.25.169946v1.article-metrics
257	bioRxiv	Microbiology	Cihan Tastan,  Bulut Yurtsever,  Gozde Sir, ...	SARS-CoV-2 Isolation and Propagation from Turkish COVID-19 patients	https://www.bioRxiv.org/content/10.1101/2020.04.23.056309v1.article-metrics
259	bioRxiv	Microbiology	Jairo R. Temerozo,  Carolina Q. Sacramento,  Natalia Fintelman-Rodrigues, ...	The neuropeptides VIP and PACAP inhibit SARS-CoV-2 replication in monocytes and lung epithelial cells and decrease the production of proinflammatory cytokines in infected cells.	https://www.bioRxiv.org/content/10.1101/2020.07.25.220806v1.article-metrics
254	bioRxiv	Microbiology	Beata Turoňová,  Mateusz Sikora,  Christoph Schürmann, ...	In situ structural analysis of SARS-CoV-2 spike reveals flexibility mediated by three hinges	https://www.bioRxiv.org/content/10.1101/2020.06.26.173476v1.article-metrics
240	bioRxiv	Microbiology	Ke Wang,  Wei Chen,  Yu-Sen Zhou, ...	SARS-CoV-2 invades host cells via a novel route: CD147-spike protein	https://www.bioRxiv.org/content/10.1101/2020.03.14.988345v1.article-metrics
242	bioRxiv	Microbiology	Yiska Weisblum,  Fabian Schmidt,  Fengwen Zhang, ...	Escape from neutralizing antibodies by SARS-CoV-2 spike protein variants	https://www.bioRxiv.org/content/10.1101/2020.07.21.214759v1.article-metrics
249	bioRxiv	Microbiology	Brandi Williamson,  Friederike Feldmann,  Benjamin Schwarz, ...	Clinical benefit of remdesivir in rhesus macaques infected with SARS-CoV-2	https://www.bioRxiv.org/content/10.1101/2020.04.15.043166v1.article-metrics
244	bioRxiv	Microbiology	Kangpeng Xiao Sr.,  Junqiong Zhai,  Yaoyu Feng, ...	Isolation and Characterization of 2019-nCoV-like Coronavirus from Malayan Pangolins	https://www.bioRxiv.org/content/10.1101/2020.02.17.951335v1.article-metrics
245	bioRxiv	Microbiology	Lizhou Zhang,  Cody B Jackson,  Huihui Mou, ...	The D614G mutation in the SARS-CoV-2 spike protein reduces S1 shedding and increases infectivity	https://www.bioRxiv.org/content/10.1101/2020.06.12.148726v1.article-metrics
260	bioRxiv	Microbiology	Yiwen Zhang,  Yingshi Chen,  Baohong Luo, ...	The ORF8 Protein of SARS-CoV-2 Mediates Immune Evasion through Potently Downregulating MHC-I	https://www.bioRxiv.org/content/10.1101/2020.05.24.111823v1.article-metrics
264	bioRxiv	Microbiology	Melissa Zimniak,  Luisa Kirschner,  Helen Hilpert, ...	The serotonin reuptake inhibitor Fluoxetine inhibits SARS-CoV-2	https://www.bioRxiv.org/content/10.1101/2020.06.14.150490v1.article-metrics
377	bioRxiv	Miscellaneous	Sofia Banu,  Bani Jolly,  Payel Mukherjee, ...	A distinct phylogenetic cluster of Indian SARS-CoV-2 isolates	https://www.bioRxiv.org/content/10.1101/2020.05.31.126136v1.article-metrics
324	bioRxiv	Miscellaneous	Nina Le Bert,  Anthony Tanoto Tan,  Kamini Kunasegaran, ...	Different pattern of pre-existing SARS-COV-2 specific T cell immunity in SARS-recovered and uninfected individuals	https://www.bioRxiv.org/content/10.1101/2020.05.26.115832v1.article-metrics
381	bioRxiv	Miscellaneous	Lonni Besançon,  Nathan Peiffer-Smadja,  Corentin Segalas, ...	Open Science Saves Lives: Lessons from the COVID-19 Pandemic	https://www.bioRxiv.org/content/10.1101/2020.08.13.249847v1.article-metrics
380	bioRxiv	Miscellaneous	David Brann,  Tatsuya Tsukahara,  Caleb Weinreb, ...	Non-neural expression of SARS-CoV-2 entry genes in the olfactory epithelium suggests mechanisms underlying anosmia in COVID-19 patients	https://www.bioRxiv.org/content/10.1101/2020.03.25.009084v1.article-metrics
371	bioRxiv	Miscellaneous	Lorenzo Casalino,  Zied Gaieb,  Jory Goldsmith, ...	Shielding and Beyond: The Roles of Glycans in SARS-CoV-2 Spike Protein	https://www.bioRxiv.org/content/10.1101/2020.06.11.146522v1.article-metrics
352	bioRxiv	Miscellaneous	Yeh Chen,  Wen-Hao Yang,  Li-Min Huang, ...	Inhibition of Severe Acute Respiratory Syndrome Coronavirus 2 main protease by tafenoquine in vitro	https://www.bioRxiv.org/content/10.1101/2020.08.14.250258v1.article-metrics
337	bioRxiv	Miscellaneous	Mary Hongying Cheng,  She Zhang,  Rebecca A. Porritt, ...	An insertion unique to SARS-CoV-2 exhibits superantigenic character strengthened by recent mutations	https://www.bioRxiv.org/content/10.1101/2020.05.21.109272v1.article-metrics
338	bioRxiv	Miscellaneous	Fabrizio Chiodo,  Sven C.M Bruijns,  Ernesto Rodriguez, ...	Novel ACE2-Independent Carbohydrate-Binding of SARS-CoV-2 Spike Protein to Host Lectins and Lung Microbiota	https://www.bioRxiv.org/content/10.1101/2020.05.13.092478v1.article-metrics
356	bioRxiv	Miscellaneous	Zharko Daniloski,  Tristan X. Jordan,  Juliana Ilmain, ...	The D614G mutation in SARS-CoV-2 Spike increases transduction of multiple human cell types	https://www.bioRxiv.org/content/10.1101/2020.06.14.151357v1.article-metrics
396	bioRxiv	Miscellaneous	Bethany L Dearlove,  Eric Lewitus,  Hongjun Bai, ...	A SARS-CoV-2 vaccine candidate would likely match all currently circulating strains	https://www.bioRxiv.org/content/10.1101/2020.04.27.064774v1.article-metrics
360	bioRxiv	Miscellaneous	Kenneth H. Dinnon III,  Sarah R. Leist,  Alexandra Schafer, ...	The SARS-CoV-2-like virus found in captive pangolins from Guangdong should be better sequenced.	https://www.bioRxiv.org/content/10.1101/2020.05.07.077016v1.article-metrics
391	bioRxiv	Miscellaneous	Lucy van Dorp,  Damien Richard,  Cedric CS Tan, ...	No evidence for increased transmissibility from recurrent mutations in SARS-CoV-2	https://www.bioRxiv.org/content/10.1101/2020.05.21.108506v1.article-metrics
336	bioRxiv	Miscellaneous	Eva Fisher,  Laura Padula,  Krisitn Podack, ...	Induction of SARS-CoV-2 protein S-specific CD8+ T cells in the lungs of gp96-Ig-S vaccinated mice	https://www.bioRxiv.org/content/10.1101/2020.08.24.265090v1.article-metrics
366	bioRxiv	Miscellaneous	Nicholas Fraser,  Liam Brierley,  Gautam Dey, ...	Preprinting a pandemic: the role of preprints in the COVID-19 pandemic	https://www.bioRxiv.org/content/10.1101/2020.05.22.111294v1.article-metrics
351	bioRxiv	Miscellaneous	Fabiana Gambaro,  Artem Baidaliuk,  Sylvie Behillil, ...	Introductions and early spread of SARS-CoV-2 in France	https://www.bioRxiv.org/content/10.1101/2020.04.24.059576v1.article-metrics
365	bioRxiv	Miscellaneous	Daryl M Gohl,  John Garbe,  Patrick Grady, ...	A Rapid, Cost-Effective Tailed Amplicon Method for Sequencing SARS-CoV-2	https://www.bioRxiv.org/content/10.1101/2020.05.11.088724v1.article-metrics
353	bioRxiv	Miscellaneous	Alberto Gomez-Carballa,  Xabier Bello,  Jacobo Pardo-Seco, ...	The impact of super-spreaders in COVID-19: mapping genome variation worldwide	https://www.bioRxiv.org/content/10.1101/2020.05.19.097410v1.article-metrics
367	bioRxiv	Miscellaneous	YONG JIA,  Gangxu Shen,  Yujuan Zhang, ...	Analysis of the mutation dynamics of SARS-CoV-2 reveals the spread history and emergence of RBD mutant with lower ACE2 binding affinity	https://www.bioRxiv.org/content/10.1101/2020.04.09.034942v1.article-metrics
343	bioRxiv	Miscellaneous	Mareike C Janiak,  Frank Marrone,  Paramjit S Arora, ...	Comparative ACE2 variation and primate COVID-19 risk	https://www.bioRxiv.org/content/10.1101/2020.04.09.034967v1.article-metrics
320	bioRxiv	Miscellaneous	Bin Ju,  Qi Zhang,  Ruoke Wang, ...	Potent human neutralizing antibodies elicited by SARS-CoV-2 infection	https://www.bioRxiv.org/content/10.1101/2020.03.21.990770v1.article-metrics
363	bioRxiv	Miscellaneous	Philippe Karoyan,  Vincent Vieillard,  Estelle Odile, ...	An hACE2 peptide mimic blocks SARS-CoV-2 Pulmonary Cell Infection	https://www.bioRxiv.org/content/10.1101/2020.08.24.264077v1.article-metrics
394	bioRxiv	Miscellaneous	Bette Korber,  Will Fischer,  S. Gnana Gnanakaran, ...	Spike mutation pipeline reveals the emergence of a more transmissible form of SARS-CoV-2	https://www.bioRxiv.org/content/10.1101/2020.04.29.069054v1.article-metrics
332	bioRxiv	Miscellaneous	Tao Liu,  Jianxiong Hu,  Jianpeng Xiao, ...	Transmission dynamics of 2019 novel coronavirus (2019-nCoV)	https://www.bioRxiv.org/content/10.1101/2020.01.25.919787v1.article-metrics
398	bioRxiv	Miscellaneous	Katrina A Lythgoe,  Matthew David Hall,  Luca Ferretti, ...	SARS-CoV-2 genomics beyond the consensus sequence: evidence for circulating mixed viral populations	https://www.bioRxiv.org/content/10.1101/2020.05.28.118992v1.article-metrics
382	bioRxiv	Miscellaneous	Oscar A MacLean,  Spyros Lytras,  Steven Weaver, ...	Evidence of significant natural selection in the evolution of SARS-CoV-2 in bats, not humans	https://www.bioRxiv.org/content/10.1101/2020.05.28.122366v1.article-metrics
345	bioRxiv	Miscellaneous	Silvia Marchiano,  Tien-Ying Hsiang,  Ty Higashi, ...	SARS-CoV-2 infects human pluripotent stem cell-derived cardiomyocytes, impairing electrical and mechanical function	https://www.bioRxiv.org/content/10.1101/2020.08.30.274464v1.article-metrics
341	bioRxiv	Miscellaneous	Christoph Muus,  Malte D Luecken,  Gokcen Eraslan, ...	Integrated analyses of single-cell atlases reveal age, gender, and smoking status associations with cell type-specific expression of mediators of SARS-CoV-2 viral entry and highlights inflammatory programs in putative target cells	https://www.bioRxiv.org/content/10.1101/2020.04.19.049254v1.article-metrics
387	bioRxiv	Miscellaneous	Courtney Mycroft-West,  Dunhao Su,  Isabel Pagani, ...	Heparin inhibits cellular invasion by SARS-CoV-2: structural dependence of the interaction of the surface protein (spike) S1 receptor binding domain with heparin.	https://www.bioRxiv.org/content/10.1101/2020.04.28.066761v1.article-metrics
339	bioRxiv	Miscellaneous	Ami Patel,  Jewell Walters,  Emma L Reuschel, ...	Intradermal-delivered DNA vaccine provides anamnestic protection in a rhesus macaque SARS-CoV-2 challenge model	https://www.bioRxiv.org/content/10.1101/2020.07.28.225649v1.article-metrics
346	bioRxiv	Miscellaneous	Jody Phelan,  Wouter Deelder,  Daniel Ward, ...	Controlling the SARS-CoV-2 outbreak, insights from large scale whole genome sequences generated across the world	https://www.bioRxiv.org/content/10.1101/2020.04.28.066977v1.article-metrics
393	bioRxiv	Miscellaneous	N.V Rajeshkumar,  Shinichi Yabuuchi,  Shweta G Pai, ...	Fatal toxicity of chloroquine or hydroxychloroquine with metformin in mice	https://www.bioRxiv.org/content/10.1101/2020.03.31.018556v1.article-metrics
348	bioRxiv	Miscellaneous	Kyle Rosenke,  Michael Jarvis,  Friederike Feldmann, ...	Hydroxychloroquine Proves Ineffective in Hamsters and Macaques Infected with SARS-CoV-2	https://www.bioRxiv.org/content/10.1101/2020.06.10.145144v1.article-metrics
370	bioRxiv	Miscellaneous	Rahila Sardar,  Deepshikha Satish,  Shweta Birla, ...	Comparative analyses of SAR-CoV2 genomes from different geographical locations and other coronavirus family genomes reveals unique features potentially consequential to host-virus interaction and pathogenesis	https://www.bioRxiv.org/content/10.1101/2020.03.21.001586v1.article-metrics
357	bioRxiv	Miscellaneous	Riad Sarkis,  Jean-Pierre Tourtier,  Murtaza Kadhum, ...	Detection dogs as a help in the detection of COVID-19: Can the dog alert on COVID-19 positive persons by sniffing axillary sweat samples? Proof-of-concept study	https://www.bioRxiv.org/content/10.1101/2020.06.03.132134v1.article-metrics
376	bioRxiv	Miscellaneous	Michael Schoof,  Bryan Faust,  Reuben A Saunders, ...	An ultra-high affinity synthetic nanobody blocks SARS-CoV-2 infection by locking Spike into an inactive conformation	https://www.bioRxiv.org/content/10.1101/2020.08.08.238469v1.article-metrics
390	bioRxiv	Miscellaneous	George Stamatakis,  Martina Samiotaki,  Anastasia Mpakali, ...	Chloroquine and hydroxychloroquine as ACE2 blockers to inhibit viropexis of COVID-19 Spike psedotype virus	https://www.bioRxiv.org/content/10.1101/2020.06.22.164665v1.article-metrics
378	bioRxiv	Miscellaneous	Michael Worobey,  Jonathan Pekar,  Brendan B. Larsen, ...	The emergence of SARS-CoV-2 in Europe and the US	https://www.bioRxiv.org/content/10.1101/2020.05.21.109322v1.article-metrics
388	bioRxiv	Miscellaneous	Erik  Scott Wright,  Seema  S Lakdawala,  Vaughn  S Cooper, ...	SARS-CoV-2 genome evolution exposes early human adaptations	https://www.bioRxiv.org/content/10.1101/2020.05.26.117069v1.article-metrics
385	bioRxiv	Miscellaneous	Hugo Zeberg,  Svante Paabo,  Alberto Velez, ...	The major genetic risk factor for severe COVID-19 is inherited from Neandertals	https://www.bioRxiv.org/content/10.1101/2020.07.03.186296v1.article-metrics
399	bioRxiv	Miscellaneous	Shing Hei Zhan,  Benjamin E Deverman,  Yulia Alina Chan, ...	SARS-CoV-2 is well adapted for humans. What does this mean for re-emergence?	https://www.bioRxiv.org/content/10.1101/2020.05.01.073262v1.article-metrics
368	bioRxiv	Miscellaneous	Peng Zhao,  Jeremy L Praissman,  Oliver C Grant, ...	Virus-Receptor Interactions of Glycosylated SARS-CoV-2 Spike and Human ACE2 Receptor	https://www.bioRxiv.org/content/10.1101/2020.06.25.172403v1.article-metrics
340	bioRxiv	Miscellaneous	Maxwell I. Zimmerman,  Justin R. Porter,  Michael D. Ward, ...	Citizen Scientists Create an Exascale Computer to Combat COVID-19	https://www.bioRxiv.org/content/10.1101/2020.06.27.175430v1.article-metrics
205	medRxiv	Epidemiology	Ricardo Aguas,  Rodrigo M. Corder,  Jessica G. King, ...	Herd immunity thresholds for SARS-CoV-2 estimated from unfolding epidemics	https://www.medRxiv.org/content/10.1101/2020.07.23.20160762v1.article-metrics
208	medRxiv	Epidemiology	Alberto Aleta,  David Martin-Corral,  Ana Pastore y Piontti, ...	Modeling the impact of social distancing, testing, contact tracing and household quarantine on second-wave scenarios of the COVID-19 epidemic	https://www.medRxiv.org/content/10.1101/2020.05.06.20092841v1.article-metrics
167	medRxiv	Epidemiology	Thiago Henrique Evangelista Alves,  Tafarel Andrade de Souza,  Samyla de Almeida Silva, ...	Underreporting of death by COVID-19 in Brazil's second most populous state	https://www.medRxiv.org/content/10.1101/2020.05.20.20108415v1.article-metrics
220	medRxiv	Epidemiology	Paul Anand,  Heidi Allen,  Robert Ferrer, ...	Work Related and Personal Predictors of Covid 19 transmission	https://www.medRxiv.org/content/10.1101/2020.07.13.20152819v1.article-metrics
170	medRxiv	Epidemiology	Vanessa J Apea,  Yize I Wan,  Rageshri Dhairyawan, ...	Ethnicity and outcomes in patients hospitalised with COVID-19 infection in East London: an observational cohort study	https://www.medRxiv.org/content/10.1101/2020.06.10.20127621v1.article-metrics
191	medRxiv	Epidemiology	Miguel B. Araujo,  Babak Naimi,  Wenbo Wang, ...	Spread of SARS-CoV-2 Coronavirus likely to be constrained by climate	https://www.medRxiv.org/content/10.1101/2020.03.12.20034728v1.article-metrics
221	medRxiv	Epidemiology	Veronique Bataille,  Alessia Visconti,  Niccolo' Rossi, ...	Diagnostic value of skin manifestation of SARS-CoV-2 infection	https://www.medRxiv.org/content/10.1101/2020.07.10.20150656v1.article-metrics
174	medRxiv	Epidemiology	Eran Bendavid,  Bianca Mulaney,  Neeraj Sood, ...	COVID-19 Antibody Seroprevalence in Santa Clara County, California	https://www.medRxiv.org/content/10.1101/2020.04.14.20062463v1.article-metrics
238	medRxiv	Epidemiology	Jamie Lopez Bernal,  Nikolaos Panagiotopoulos,  Chloe Byers, ...	Transmission dynamics of COVID-19 in household and community settings in the United Kingdom	https://www.medRxiv.org/content/10.1101/2020.08.19.20177188v1.article-metrics
198	medRxiv	Epidemiology	Usama Bilal,  Sharrelle Barber,  Ana V Diez-Roux, ...	Early Evidence of Disparities in COVID-19 Testing in US Cities	https://www.medRxiv.org/content/10.1101/2020.05.01.20087833v1.article-metrics
193	medRxiv	Epidemiology	Jan Markus Brauner,  Sören Mindermann,  Mrinank Sharma, ...	The effectiveness and perceived burden of nonpharmaceutical interventions against COVID-19 transmission: a modelling study with 41 countries	https://www.medRxiv.org/content/10.1101/2020.05.28.20116129v1.article-metrics
237	medRxiv	Epidemiology	Diana C Buitrago-Garcia,  Dianne Egli-Gany,  Michel J Counotte, ...	The role of asymptomatic SARS-CoV-2 infections: rapid living systematic review and meta-analysis	https://www.medRxiv.org/content/10.1101/2020.04.25.20079103v1.article-metrics
210	medRxiv	Epidemiology	Nathalie CHARLOTTE,  Nesreen Shaban,  Marwan Nassar, ...	High Rate of SARS-CoV-2 Transmission due to Choir Practice in France at the Beginning of the COVID-19 Pandemic	https://www.medRxiv.org/content/10.1101/2020.07.19.20145326v1.article-metrics
175	medRxiv	Epidemiology	Miriam Casey,  John Griffin,  Conor G McAloon, ...	Estimating pre-symptomatic transmission of COVID-19: a secondary analysis using published data	https://www.medRxiv.org/content/10.1101/2020.05.08.20094870v1.article-metrics
161	medRxiv	Epidemiology	Gemma Chavarria-Miró,  Eduard Anfruns-Estrada,  Susana Guix, ...	Sentinel surveillance of SARS-CoV-2 in wastewater anticipates the occurrence of COVID-19 cases	https://www.medRxiv.org/content/10.1101/2020.06.13.20129627v1.article-metrics
228	medRxiv	Epidemiology	Zhaowei Chen,  Jijia Hu,  Zongwei Zhang, ...	Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial	https://www.medRxiv.org/content/10.1101/2020.03.22.20040758v1.article-metrics
